company,summary,title
ITUSA Sports,"Proven work experience completing a full video game life-cycle.,Bachelor’s degree in Computer Science or , Engineering or similar preferred.",Sports Game Application Developer
TuSimple,"Minimum 5 years of hands-on experience with real-time embedded , development in an automotive environment (OEM or Tier 1).",AutoSAR - Embedded Software Engineer - Autonomous Vehicle Company
TheRIIM LLC,"Ideal candidate should have excellent CCM development experience with strong interpersonal/communication skills.,Experience on any other CCM tool is desirable.",SmartComm/Thunderhead Developer - Remote
The Plastics Exchange,"Must be very organized and have strong project management skills, be able to work in a shifting environment.,Software development: 3 years (Required).",Web Software Developer
Adwait,"\* Should have very strong experience in OOPS.,\* Strong experience with Java RX & Java 8.,\* Strong experience with REST & Spring.",Java Mid level Developer
RevSpring,"Experience: * Minimum of 5 years in a similar role.,Liaise with network administrators and , , to assist with quality assurance, program logic,…",Delphi Developer
Edupoint,"Follow coding standards to meet guidelines created by Edupoint.,NET framework) to provide innovative products for the K-12 Education market.",Fall 2020-Software Engineering/Computer Science Intern
Intersource,"Senior , QA with Automation experience.,Experience in (EIM) Enterprise Information Management, and Data Warehouse (DW) testing experience.",QA Automation Engineer
Youth Power Technosoft LLC,Software development: 1 year (Preferred).,Vert.X Java Developer
Innovecture,Providing root cause analysis for application bug/issues & other data issues by working through code analysis in spring framework java application.,Sr Software Engineer
Corbins Electric,"Familiarity with , architecture design, programming patterns, and good coding practices.,You will be part of a small intimate team tasked with developing…",BIM Fabrication Software Engineer
DDC-I,"RTCA DO-178C , development experience a huge plus.,Software , – Real-Time Operating Systems (Multiple Openings).,BSCS/BSCE/BSEE or Equivalent.",Software Engineer – Real-Time Operating Systems
Liftable Media,"Interns will be responsible for delivering, maintaining and improving websites under the Liftable Media brands and for Liftable Media clients.",Web Developer Internship
All Digital Rewards,This position will support All Digital Reward's development team by creating and implementing automated tests for our RESTFUL API's and web based user…,(Fully Remote) Automation Developer - UI / API Quality Assurance
"Hierarch Soft Technologies Inc,","We need a Senior DevOps person on contract position.,VM management for ACL/Certificates/ various , management(like Splunk).",Senior DevOps Engineer
Wipro,"As a Lead, you are responsible for managing a small team of analysts, developers, testers or , and drive delivery of a small module within a project …",Xamarin Developer
HotFix Squared,The successful candidate will work with high level BI-ETL developers to convert legacy Teradata BTEQ scripts into Informatica mappings/workflows that will…,Junior Developer – Business Intelligence (ETL)
Axosoft,"Expertise in Database Development: As a full-stack senior , ,, you will be expected to interface and evaluate database systems such as MongoDB and…",Senior Software Engineer
SunsoftOnline LLC,"5 years of development experience with C#, .,Participate in , design discussions and code reviews.,Advanced understanding of object oriented programming…",Dot Net Developer
DISYS,"Collaborates with hardware , on machine characteristics that affect , systems and works with them to resolve incompatibilities working closely…",Web Developer
ANB Sourcing LLC,Design and development experience building a reusable REST API model/framework to consume data from and/or push data into MongoDB (or similar technology).,Mongo DB Developer
Gould Intelligent,"Candidate will be designing and creating internal applications and websites.,Will also participate in testing and documenting the applications.",Full stack .Net Developer
ApproveMe.com,"We are in immediate need of a Full-time Freelance React JS developer to work alongside our Tempe based product manager, lead developer and three UI engineers…",Front-End Developer // UX Engineer // React Javascript (F/T 4mth Contract)
The French Agency,"The Team consists of 5 and growing to 8, Seniors will train Junior, all hands on deck type of crew and the less meetings the better!",Front-End Developer
MetroStar Systems,Applicants selected may be subject to a government security investigation and must meet eligibility requirements for potential access to classified information.,Senior Software Developer
Parsoft LLC,"Specifically strong background in React JS.,Strong understanding of how design impacts performance on the end-users systems.",Senior React JS Developer
Hierarchsoft Technologies,"Java 8, Spring (MVC & Batch), Spring Boot, React and Redux.,Pay: $40.00 - $45.00 per hour.,Temporarily due to COVID-19.",Java Full Stack Developer
"DriveTime Automotive Group, Inc.","On any given day, you'll have the opportunity to mentor and positively impact a developer, influence the business on strategic direction, research upcoming…",Software Engineering Manager
Nemean Solutions,"Nemean Solutions is seeking a Computer Programmer for a position at beautiful Fort Huachuca, AZ with a background in website functionality.",Computer Programmer
J.D. Mellberg Financial,"Full Stack Developer comfortable with client-side development, server-side development, and database development - preferred.",PHP Developer
Dataforth,"Collaborate with hardware , on product architecture.,Develop embedded firmware for high performance industrial automation products.",Firmware Development Engineer
Maddisoft,"Core java: 10 years (Required).,(713)429-4205, \*\*\*Visa sponsorship available\*\*\*.,Sr. 10-12+ yeas Java programmer who must be PRO in basic core Java…",Sr.Java Developer
Investis Digital,Participate in task and project estimation with project manager and team leads and other project development life cycle ceremonies.,Web Developer
REPAY,"We build great , that enables businesses to move faster by removing friction in payments processing by offering a comprehensive line of electronic…",Full Stack Developer (Python) - Tempe or REMOTE
Ad Hoc Team,"Senior Staff , , are technical experts who work closely supporting both teams and clients through all aspects of the , development cycle,…",Senior Staff Software Engineer - Mobile
Freestar,"Experience working in the Ad-tech industry.,3+ years working with Java / Spring.,2+ years working with microservices.,3+ years working with MySQL / NoSQL.",Java Engineer
"Real Time Consulting, LLC","5+ years of DO-178B/C safety critical embedded system , life cycle development.,Additionally, the developer will integrate the , on the system and…",Detect and Avoid Software Engineer
Computer Guidance Corporation,Employer will accept a Bachelor's degree in Computer Applications or in a related field and 5 years of relevant experience.,RPG Developer
JUBILANT,"HandsOn experience with developing applications in Angular,React,VueJs.,Jasmine, karma in Angular is a MUST have.,Basic NodeJS experience is a MUST have.",NODE JS/ ANGULAR 4+ DEVELOPER
SCG,Detail-oriented and highly organized with the ability to handle multiple-tasks simultaneously and meet tight deadlines.,Lead Web Applications Developer
Rare Labs,"Proven working experience in a , development 1+ years.,Design and build applications for the iOS platform (Swift).",Jr iOS Developer
"SEC, Inc.","CAD ,: 1 year (Preferred).,Ability to use or effectively learn other modeling software.,Assisting in the development and preparation of technical…",CIVIL ENGINEER
Innovecture,Enable technology and business executives to leverage the right technology at the right level to achieve maximum results.,Genesys Developer/Engineer
Efortles Inc,"Professional experience in front-end development from course assignments or side projects.,Basic experience with AWS and/or cloud computing.",Front End Developer Intern
360 Technology,"Java Springs: 5 years (Required).,Will also consider three years of progressive experience in the specialty in lieu of every year of education.",Java Architect / Developer
Axosoft,"Core Network Administration: A great understanding of networking and network administration, including knowledge of switches, routers, firewalls and other…",Site Reliability Engineer
Endurance International Group,"You will effectively assess the scope of the design project, educate customers on process, and set clear expectations to ensure on-time and in-budget delivery.",Designer (WordPress)
Endurance International Group,"You will effectively assess the scope of the design project, educate customers on process, and set clear expectations to ensure on-time and in-budget delivery.",WordPress Designer
Intersource,"BS or MS in Computer Science or equivalent degree.,NET Web application architecture, design, & development.,Temporarily due to COVID-19.",.Net Lead Software Engineer
Callibus Inc,"JAVA, Spring framework, Restful web services, Jenkins, CICD, GIT, DevOps, Scrum model, Splunk.",Java Developer with Devops
Your Resume Charm,"Database Development: 5 years (Required).,The right candidate will like to interact and work as a team with their coworkers.",Database Developer
Savvas Learning Company,"Min. Requirements: Bachelor’s degree or higher in Computer Science, Computer Information Systems, or foreign equivalent and 5 years of experience as a Sr.…",Senior Software Developer
BankAccountBuilders LLC,"Proven , development experience in PHP.,Good knowledge of relational databases, version control tools and of developing web services.",Junior PHP Developer In Tempe
SmartRent,"Familiarity with cloud message APIs and push notifications.,Our extensive product line consists of web and mobile , for property owners and managers,…",Android Developer
Innovecture,"O Must have experience in cloud-native application patterns and tools, microservices architectures, application migrations to any cloud platform.",Java Full Stack Engineer
REPAY,"We build great , that enables businesses to move faster by removing friction in payments processing by offering a comprehensive line of electronic…",Full Stack Developer (Python) Integrations
"DirectViz Solutions, LLC","Knowledge of SVN or other source control software.,2 years of similar experience at a minimum.,This position requires the ability to obtain and maintain an…","Web Developer-Sierra Vista, AZ-1701"
Transfinder,"We're looking for full-time experienced GIS , developers that love to be involved in all phases of the , development life cycle.",GIS Software Developer (100% Remote)
Rare Labs,"Proven working experience in a , development 1+ years.,Design and build applications for the Android platform (Android Studio).",Jr Android Developer
"Medical Labs, LLC","Bachelor’s degree in related field (Graphic Design, Website Design, Marketing) or 3-5 years of practical experience.,Experience with PHP and MySQL.",Web Designer/Developer
InfoArmor Inc,"5-8 years Javascript experience building products/solutions that are performant with big data sets.,Days and hours of work are Monday through Friday, 8:30 a.m.…",Software Developer (Senior)
VALLEYLIFE,"Ability to sit, stand, walk and talk for great lengths of time.,Must have flexibility to work outside of typical work hours when necessary in order to meet…",Job Developer/Job Coach
COVETRUS INC,"Provides leadership and mentors , , in a cohesive, high-performing, agile team.,7+ years of professional , engineering experience.",Lead Software Engineer - eCommerce
iFoodDecisionSciences,"Understanding of fundamental design principles behind a scalable application.,Therefore, a commitment to collaborative problem solving, sophisticated design,…",Senior Mobile App Developer
TuSimple,"Diagnose , system, and hardware failures that impact deployment.,Collaborate with multiple teams, such as infrastructure, integration, sensor, vehicle…",Software Engineer - AV System Operations
NAVIS,"Experience in Agile , development process.,BS degree in Computer Science, similar technical field of study or equivalent practical experience.",Sr. Software Developer
Nucleusteq,"Excellent oral and written communication skills.,As a Solutions Architect (integration) you are responsible for collaborating with the various client business…",Integration Engineer / Architect (.Net)
VedaInfo,"ReactJS/NodeJS: 5 years (Preferred).,Minimum years of experience: 8.,Understanding of React.js and its core principles including Virtual DOM, Data Binding,…",ReactJS / NodeJS Architect
Oscar Health,"Contribute to capacity planning, demand forecasting, , performance analysis, and systems tuning.,You will help architect the systems from the ground up…",Site Reliability Engineer
Silverlink Techechologies,"Rest APIs: 5 years (Preferred).,Strong technical knowledge on Java, Web Services, APIs, Spring, Spring Boot, Apache Camel, Hive, Spark, Hadoop.",Java Vert.X Developer
YDTS,"Becoming technically fluent with a great understanding of Cloud platforms.,1-5 years of Java.,Learning how to be a collaborative partner with designers and…",Java Developer
Callibus Inc,The position is for a Hadoop Developer for Financial Crimes Technology Group within a Banking and Financial Services firm.,Big Data/Hadoop Developer
AIM IT Services,"Previous experience in programming, , development, or other related fields.,Able to understand and communicate ability to meet deadlines.",LAMP Developer
Singo Solution,"Will be integrating with VoIP solutions, and creating cutting-edge web-based user interfaces.,Some light system administration will also be required.",Web Developer
Completing,"Support day-to-day development, testing, and editing needs; troubleshoot bugs and update content as needed.,At least 5 years’ experience in a web design role,…",Web Designer/Developer
Limelight Networks,"Participate in the training and development of associate engineers.,The Solutions , is a key contributor to the sales cycle by identifying key customer…",Solutions Engineer
ApproveMe.com,"We are in immediate need of a Full-time React JS developer to work alongside our Tempe based product manager, lead developer and three UI , for the next…",Front-end React.js Javascript Developer - Immediate Full-time Start (Remote)
Workforce Logiq,"This position will be a senior contributor to operations projects with a particular focus on Wordpress deployments.,Bility, and on-call rotation.",Sr Cloud Engineer
ApproveMe.com,"We are in immediate need of a Full-time Contract React JS developer to work alongside our Tempe based product manager, lead developer and three UI , for…",Front-end React.js Javascript Developer - Immediate Contract (Remote)
The Veritas Healthcare Solutions LLC,"Experience leading team of ,, resolving day to day developer queries and road blocks.,Strong technical (hands on) and team leadership skills.",Java Developer/ Lead with Java 8 Experience
Nucleusteq,"The , uses visualization and other techniques to fast track concepts;,Performing hands-on , design, development and testing of Java, J2EE based…",Java Developer
Attainia Inc.,"Understand the fundamentals of cloud design principles behind scalable applications.,Attainia’s , touches all facets of the complex project planning and…","Senior Full Stack Engineer (Django, Python, and Elasticsearch)"
Computer Guidance Corporation,"Identifies opportunities for improving , development methods and procedures and communicates recommendations appropriately.",.NET Developer
NCI Information Systems Inc.,"Understanding of Machine learning, DNNs, CNNs, recurrent nets, supervised and unsupervised learning, and optimization techniques.",AI Software Developer
ApproveMe.com,A minimum of 5-7 years working experience in project management ideally in a startup environment where you have worked to bring a successful product (or two) to…,Part-time Project Manager (SaaS Product)
Rio Salado College,Possession of a valid State of Arizona Class D driver's license is required if driving a college vehicle; must meet minimum standards regarding driving: http:/…,"Software Developer Senior (SQL, C#, Bootstrap, etc.)(Specially Funded)"
Hotel Connections,"Experience working with virtual server cloud environments and high availability architectures, preferably Azure.,Azure cloud experience desired, or AWS.",SQL Server Developer
Hunter Recruitment Advisors,"Actively participate in project team meetings to offer insight on application issues discovered and present solutions to resolve, meet requirements and ensure…",QA Automation Engineer
Freemind Solutions,"Microsoft Visual Studio 2013 and Up.,Entity Framework, LINQ, Web Services,REST APIs and Unit tests.,SQL Server 2016 and up(Complete understanding of T-SQL,…",Senior Dot Net Developer
YDTS,"Strong technical skills including understanding of , development principles.,Our client's Consulting's Analytics & Cognitive offering leverages the power…",Hadoop Developer
Gould Intelligent,"Candidate must have 5+ years’ experience with C#, ASP.net, MVC, and WPF.,Candidate will be primarily focused on supporting existing applications and developing…",C# AWS Developer
"Crossroads Technologies, Inc.","Must have excellent oral and written communication skills.,Ability to meet deadlines with Projects and Assignments.,1 year of experience with Windows Servers.",Cloud and DevOps Infrastructure Analyst
DRIGGS TITLE AGENCY,"Days and hours of work are Monday through Friday, 8:00 a.m. to 5 p.m. This position may require long hours and weekend work.,This is a full-time position.",Wired-in Database Developer
AnnuityCheck,"5+ Years of JavaScript Experience.,Work from home and office (50/50 mix), highly flexable.,Amazing communication skills, expect daily phone calls and slack…",Angular Developer (NOT REMOTE)
"Rich & Assoc., Inc.","Leverage IT governance processes to ensure proper project definition, socialization and control.,Participate as a senior or lead team member on projects, with…",HYBRIS DEVELOPER
DZYNE Technologies,"A minimum of 5-6 years of professional experience in an embedded real-time setting.,Experience designing real-time embedded , on multiprocessor systems.",Embedded Software Engineer
Rhino Agile Solutions,"Rhino is team oriented and we celebrate success Competitive health and dental insurance, 401K and other benefits.,3+ years of web development experience.",Web Developer
ApproveMe.com,"If you are a back end PHP Laravel developer able to commit to between 40+ hours weekly and have experience building highly scalable digital products, then our…",Back-end PHP Laravel API Developer - Immediate Contract ( Remote )
Vanlo,"5+ years of professional , development experience building, deploying, and maintaining web apps at scale.,Expert at Javascript, HTML, and CSS.",Senior Front-End Engineer
Best Western Hotels & Resorts,"Assists management by providing technical support and day-to-day work direction to technical team.,Sound technical know-how to meet job standards.",Dev Ops Support
Rio Salado College,"Experience with HTML 5, Bootstrap, CSS, JSON, JavaScript, jQuery, Knockout.js, React.js, Vue.js.,Possession of a valid State of Arizona Class D driver's license…","Software Developer Sr (SQL, C#, Bootstrap, etc)(ADA Compliance)"
The Paragon Group,"Expert in SQL and ETL (Informatica Power Center Experience).,Expert Database Analysis and Design using concepts.,Experience in Oracle and SQL server Databases.",Database Developer
Sahi Softtech Inc,"At least 2 years experience in using Redux.js and integrating it in a React.js project.,7 years of experience as a Developer.,Ability to travel up to 25 %.",Mobile App Developer
Fasetto,"5+ years of , development experience.,Android development: 5 years (Required).,Solid understanding of the full mobile development life cycle.",Android Developer
Computer Guidance Corporation,"Identifies opportunities for improving , development methods and procedures and communicates recommendations appropriately.",Java Developer
Region Technologies Inc,"This is going to be contract to hire position with client.,Our client is looking to hire two Java hands on experience resources with minimum of 8-10 years of…",Senior Java/J2EE Developer
U-Haul,"In this challenging role you will be responsible for comprehensively overseeing projects, designing and developing web architecture, and guiding and mentoring a…",Web Development Manager - Oxford Life Insurance
Nivas Technologies,2 yrs of healthcare exp.,Java Developer
Trideum Corporation,Security Clearance: Applicants selected will be subject to a government security investigation and must meet eligibility requirements for access to classified…,Intermediate Training Developer
"WTI, Inc.","5 years of experience with C#.,Net Developer in our Phoenix, Arizona office to work closely with a small team of developers to design, build and support our…",Net Developer/ Team Lead
Brushfire,"4+ years of professional , development experience.,Host and deploy web applications using multiple cloud services.",.NET Developer
InterSources Inc,"BS or MS in Computer Science or equivalent degree.,Experienced with C#, Javascript, JQuery, AJAX, HTML, and CSS, OAuth.,Strong communication and writing skills.",Senior .NET Developer
Association Member Benefits Advisors,"The focus of this position includes advanced website development, web applications, and enhancements to existing sites and systems.",Sr. Web Developer
Newtek Business Services Corp.,"Expert understand and proven , development experience in ColdFusion.,\* Expert understand and proven , development experience in PHP.",Website Developer & Designer
Haritek Inc.,"Has knowledge of version control and configuration management practices for large projects.,Has personally been responsible for branching and merging project…",Java Developer
Endurance International Group,"We will train you to become a WordPress guru, who will consult with and assist customers through utilizing your creativity and customer service skills.",WordPress Support
Arcoro,"Working knowledge of , development life cycle methodology, preferably within an Scrum environment.,5% company match for 401(k).",Engineering Manager
BizFlow Corp.,"Maintain and modify , to correct errors and keep , current.,The ideal candidate will possess 2-5 years of development experience, critical &…","Front-End Web Developer (Mid-Level, Angular Required)"
AdviNow Medical,"The individual must be able to work locally with senior leaders to identify the strategic needs, manage JIRA, and then contribute and oversee the delivery to…",Senior Angular / JavaScript Programmer
SpyFu.com,"Often times, we have to think way outside the box and create new visualizations from scratch (see SpyFu Kombat or Ad History).,You get an office - with a door.",Front-End Web Developer
Hotel Connections,"Ability to manage large projects and prioritize tasks in a high-pressure environment and meet strict deadlines.,Azure cloud experience desired, or AWS.",SQL Server DBA
Q1 Technologies,"Identifying exciting opportunities for adopting new technologies to solve existing needs, predicting future challenges and delivering continuous improvement.",Genesys IVR Developer
Digital Air Strike,"Medical/Dental/Vision, long & short-term disability, life insurance, incentive stock options, 401K, employee assistance program, flexible spending accounts for…",Build / DevOps Engineer
Endurance International Group,"We will train you to become a WordPress guru, who will consult with and assist customers through utilizing your creativity and customer service skills.",Web Support (WordPress)
Axosoft,"Core Network Administration: A great understanding of networking and network administration, including knowledge of switches, routers, firewalls and other…",Senior DevOps Engineer
Cloud Computing Technologies,"Cloud Computing Technologies, a 20-year cloud veteran company and AWS Public Sector Partner, designs architecture and cloud solutions to financial,…",DevOps Principle in Chandler Arizona
NCI Information Systems Inc.,"NCI will provide services defined in the contract, including capability management, project integration, process development, Information Assurance (IA),…",Web Developer
Spark Development Network,"Are eager to take ownership of a project and show initiative.,Creating innovative solutions to solve the needs of the fastest growing churches.",Senior Xamarin Developer
Endurance International Group,"We will train you to become a WordPress guru, who will consult with and assist customers through utilizing your creativity and customer service skills.",Technical Support (WordPress)
Aptino Inc,"• 3 - 5 Experience on the PEP+ system emphasis in applications and systems engineering development - a must*.,ACH Payment: 5 years (Required).",Sr. Mainframe Developer
datasysamerica,"Experience in infrastructure roles working within teams that practice DevOps.,Working knowledge of the network stack and storage administration.",: Sr. Devops Infrastructure Engineer
Nucleusteq,"Over 8-10 years of professional experience as a Java J2EE Developer in Object Oriented development, implementation and maintenance of web and distributed…",Java Lead
eVisit,"Experience in configurable , applications.,3 years of experience in , development.,Strong knowledge of , QA methodologies, tools and…",QA Engineer
Haritek Inc.,"Participate in , SDLC life cycle to implement a solution while taking on various responsibilities in the team to.",Net Developer
Keap,"Experience developing under Agile, SCRUM or similar iterative unified processes.,Collaborate well in a cross-functional team of ,, designers, and…",Senior React Native Mobile Engineer
The Paragon Group,"Proficiency in developing, deploying, and debugging cloud-based applications using AWS.,Ability to apply a basic understanding of cloud-native applications to…",AWS Developer
Innovecture,"Solid understanding of an iterative , development process.,Education and experience typically obtained through completion of a Bachelor’s Degree in…",Drupal Developer
Technix,"Paid Vacation of 2 weeks every year.,Sr. Java Developers – design, develop, implement & test applications or system level software.",Sr. Java Developers
ProAxis Consulting,".Net Developer: 5 years (Required).,Participate in , design discussions and code reviews.,Experience with Team Foundation Services or other centralized…",.Net Developer –AZED – Job Id 73189
Statistics & Data Corporation (SDC),"Contributes to the development of standard operating procedures for the use of automation , within clinical trials.",Python Developer
ORSA Technologies LLC,"TOP SECRET security clearance with eligibility for SCI access (SECRET to start; TS granted within one year).,Experience designing, developing, and administering…",IT Specialist (Tools Developer)
Zenaide Technologies,"Working knowledge in implementing 5 layers of Fraud Detection Model.,Utilize Jira Issue and Project tracking , for management of Agile tasks.",E-Banking Fraud Integration Manager
Titan School Solutions,"Expert (3-5 years) with AngularJS or Angular 2+ or React Framework.,Expert (3-5 years) with .,Expert (3-5 years) with SQL Server.,Net full framework and EF.",Remote Sr. Full Stack Developer (U.S. ONLY)
Koreminds LLC,"Good knowledge of , development lifecycle, Agile Methodologies and related processes.,Minimum Contract Duration: * 6-12 Month.","Hiring for CAM Developer / Programmer in Scottsdale, AZ"
TuSimple,"Ability to develop software/firmware based on vendor provided drivers.,Coding experience with Python/Matlab/C for embedded system based application development.","AV Sensor Hardware Engineer (Lidar, Radar, Camera)"
Sahi Softtech Inc,"Proven history of developing and unit testing complex , components.,Demonstrated abilities to successfully document and communicate , designs of…",Sr Developer
Oscar Health,"Contribute to capacity planning, demand forecasting, , performance analysis, and systems tuning.,You will help architect the systems from the ground up…",Senior Site Reliability Engineer
Tecdoors,"Work with Agile methodology and Scrum practice in , development.,Work on client-side validations and required Servlets using Java, Spring & Hibernate…",Technical Lead- React
Infotree Service Inc,"NET, VB.NET, C++, Java, SQL, PL/SQL, Java Script, VB Script, HTML, HTML 5, Flash, Silverlight, XML, CSS, REST API, WISDL, SOAP, Web Services, DLL implementation…",Embedded Architect --- DP
Sprouts Farmers Market,"3+ years of experience with cloud-based solutions and/or hybrid connectivity.,This will be considered a full stack developer position, with responsibilities…",Full Stack Developer
Terascope,"Experience with web technologies including REST, Web Sockets, HTML 5 and CSS.,Terascope provides , and technical services to assist companies deploying…",Senior User Interface Developer - React
Technix,"Paid Vacation of 2 weeks every year.,Net Developer – design, develop, implement & test applications or system level software.,Other benefits – as per HR manual.",Sr. ASP.Net Developer
Sahi Softtech Inc,"Document and communicate , platform designs to all levels of staff (technical and non technical).,Provides development estimates and participates in…",Sr Java Developer
Radius AI,RadiusAI is an early-stage startup that is helping brick & mortar retailers provide a level of experience that surpasses online experiences through AI and video…,Backend Engineer
Zenaide,"Working knowledge in implementing 5 layers of Fraud Detection Model.,Utilize Jira Issue and Project tracking , for management of Agile tasks.",E-Banking Fraud Integration Manager
ORSA Technologies LLC,"Experience as SharePoint Site Collection Administrator, including using SharePoint Designer, SharePoint 2013, Microsoft Visual Studio, and Nintex.",IT Specialist (Multimedia / Web Development Specialist)
Technologent,"Excellent knowledge of GIT source control systems, CICD pipelines, and Agile , development / release management.,2+ years in general scripting exposure.",Python/NLP Automation Developer (Operations)
Mister Car Wash,"Use your database, ,, and business experience to optimize the AWS services to meet our needs.,NET/C#, Python, JavaScript, Java, or similar languages.",Senior IT Developer Analyst
Limelight Networks,"3+ years , development experience (or scripting in an object oriented scripting language).,Bachelor’s degree in , engineering or related field.",ServiceNow/Jira Administrator
Digital Air Strike,"Medical/Dental/Vision, long & short-term disability, life insurance, incentive stock options, 401K, employee assistance program, flexible spending accounts for…",Sr. Database Engineer
nFocus Solutions,"Experience with Sketch, InVision, or similar design tool is a plus.,Adhere to established guidelines and procedures.,Experience with RESTful API integration.",Senior Front End Developer
Greenlight Professional Services,"The , , designs and implements real-time embedded , for Avionics’ products, including , defined radios, navigation & communication…",Sr Staff Software Engineer
Davis Talent,"Developing high performance and reusable , with excellent test coverage.,Hosted applications on AWS, utilizing many cloud services (SNS, Lambda, etc.).",Senior Level Fintech/Payments Software Developer
HomeSmart International,Net Developer is responsible for the creation of web and service-based applications that take into consideration all aspects of application development…,Senior .Net Developer
LearnPlatform,"The SaaS edtech system of record gives education organizations the ability to inventory and select digital learning tools, establish and maintain regulatory…",Senior Back End Engineer
Innovecture,"Experience leading a team of ,, resolving day to day developer queries and roadblocks.,Coding problems ( Expectation is to solve the problem with coding…",Java Tech Lead
Digital Air Strike,"Must have great written and oral skills, especially writing design documents that are easy to understand and communicating with non-technical people.",Senior .Net Engineer
ProAxis Consulting,"Analyzing user needs to design appropriate system modifications or new applications to meet the identified requirements.,.NET Developer: 5 years (Required).","Sr .Net Developer –AZDPS – Phoenix, AZ – Job Id 73106"
The French Agency,"Providing clarity around the development roadmap, outlining tasks, goals, desired results, etc.,Bachelor's Degree with an IT/Computer Science related…","Lead Developer - PHP, AWS, REACT"
Infotree Service Inc,"Prepares documentation and provides , with status update on - Validation testing.,Working closely with - Validation ,, the candidate performs -…",Engineering Tech/ Computer Technician/ Validation Technician/ Motherboard Technician
BizFlow Corp.,"Work with other members of a planning team to develop a prototype plan for an enterprise system that will process millions of records per day, including what…",Lead Java Developer (7+ years exp.)
LegalForce RAPC Worldwide,"Previous , architecture/software development experience.,The ideal candidate will be a full-stack web developer with a track record and portfolio of the…","Lead Developer / Architect - Full Stack (.NET, C#)"
Impact Church,"Meet with internal client marketing team to get final approval for designs and/or meet.,Action-oriented; team player; ability to clearly set work priorities;…",Graphic Designer/Front-End Web Design
Nucleusteq,"Excellent oral and written communication skills.,Drives the solutioning for large complex projects, collaborating with Enterprise and other Solutions Architects…",.Net Lead / Architect
PruTech Solutions,"Experience with object-oriented design, , patterns, and refactoring.,Any experience with Talend will be very useful.",Java with Angular and MongoDB
Trimble,"Excellent written and oral communication skills as this role will involve presentations, service agreements, and other customer-oriented communication.",DevOps Technical Lead
Infotree Service Inc,"NET, VB.NET, C++, Java, SQL, PL/SQL, Java Script, VB Script, HTML, HTML 5, Flash, Silverlight, XML, CSS, REST API, WISDL, SOAP, Web Services, DLL implementation…",Supply Chain Developer/Solutions Developer/Supply Chain Systems Support /Supply Chain Solutions Lead/ Solutions Support Lead/ Solutions Architect Support
Rare Labs,"Proven working experience in a , development 10+ years.,Working experience in iOS development 3-5 years.,Experience with GIT source code management.",Senior iOS Developer
eVisit,"Experience in working directly with , to create an end user application.,Root cause analysis using data analytics.,Update and manage eVisit style guide.",Product Manager
Rare Labs,"Proven working experience in a , development 10+ years.,Working experience in the Android development 3-5 years.,A deep familiarity with Java.",Senior Android Developer
Contino,"We enable enterprise organizations to streamline their processes, reduce costs and increase efficiencies.,In this role, you will provide training sessions and…",Lead DevOps Coach
